CMDLINE C:\Users\Acer\AppData\Local\Programs\Python\Python311\python.exe cli.py
MEM 72.328125 1749533665.5500
MEM 72.328125 1749533665.6510
MEM 72.328125 1749533665.7515
MEM 72.328125 1749533665.8522
MEM 72.328125 1749533665.9526
MEM 72.328125 1749533666.0534
MEM 72.328125 1749533666.1540
MEM 72.328125 1749533666.2543
MEM 72.328125 1749533666.3548
MEM 72.328125 1749533666.4553
MEM 72.328125 1749533666.5558
MEM 72.328125 1749533666.6566
MEM 72.328125 1749533666.7573
MEM 72.328125 1749533666.8576
MEM 72.328125 1749533666.9581
MEM 72.328125 1749533667.0586
MEM 72.328125 1749533667.1592
MEM 72.328125 1749533667.2597
MEM 72.328125 1749533667.3602
MEM 72.328125 1749533667.4606
MEM 72.328125 1749533667.5610
MEM 72.328125 1749533667.6621
MEM 72.328125 1749533667.7627
MEM 72.328125 1749533667.8633
MEM 72.328125 1749533667.9637
MEM 72.328125 1749533668.0641
MEM 72.328125 1749533668.1648
MEM 72.328125 1749533668.2653
MEM 72.328125 1749533668.3658
MEM 72.328125 1749533668.4665
MEM 72.328125 1749533668.5676
MEM 72.328125 1749533668.6681
MEM 72.328125 1749533668.7685
MEM 72.328125 1749533668.8691
MEM 72.328125 1749533668.9698
MEM 72.328125 1749533669.0715
MEM 72.328125 1749533669.1719
MEM 72.328125 1749533669.2724
MEM 72.328125 1749533669.3731
MEM 72.328125 1749533669.4741
MEM 72.328125 1749533669.5748
MEM 72.328125 1749533669.6757
MEM 72.328125 1749533669.7762
MEM 72.328125 1749533669.8769
MEM 72.328125 1749533669.9776
MEM 72.328125 1749533670.0780
MEM 72.328125 1749533670.1786
MEM 72.328125 1749533670.2789
MEM 72.328125 1749533670.3792
MEM 72.328125 1749533670.4800
MEM 72.328125 1749533670.5808
MEM 72.328125 1749533670.6813
MEM 72.328125 1749533670.7821
MEM 72.328125 1749533670.8827
MEM 72.328125 1749533670.9833
MEM 72.328125 1749533671.0840
MEM 72.328125 1749533671.1845
MEM 72.269531 1749533671.2851
MEM 72.269531 1749533671.3856
MEM 72.269531 1749533671.4862
MEM 72.269531 1749533671.6194
MEM 72.269531 1749533671.7205
MEM 72.269531 1749533671.8208
MEM 72.269531 1749533671.9211
MEM 72.269531 1749533672.0216
MEM 72.269531 1749533672.1223
MEM 72.269531 1749533672.2228
MEM 72.269531 1749533672.3234
MEM 72.269531 1749533672.4237
MEM 72.269531 1749533672.5243
MEM 72.269531 1749533672.6252
MEM 72.269531 1749533672.7258
MEM 72.269531 1749533672.8265
MEM 72.269531 1749533672.9277
MEM 72.269531 1749533673.0282
MEM 72.269531 1749533673.1291
MEM 72.269531 1749533673.2303
MEM 72.269531 1749533673.3311
MEM 72.269531 1749533673.4320
MEM 72.269531 1749533673.5326
MEM 72.269531 1749533673.6332
MEM 72.269531 1749533673.7337
MEM 72.269531 1749533673.8345
MEM 72.269531 1749533673.9349
MEM 72.269531 1749533674.0356
MEM 72.269531 1749533674.1360
MEM 72.269531 1749533674.2366
MEM 72.269531 1749533674.3372
MEM 72.269531 1749533674.4376
MEM 72.269531 1749533674.5383
MEM 72.269531 1749533674.6386
MEM 72.269531 1749533674.7393
MEM 72.269531 1749533674.8400
MEM 72.269531 1749533674.9404
MEM 72.269531 1749533675.0410
MEM 72.269531 1749533675.1412
MEM 72.269531 1749533675.2417
MEM 72.269531 1749533675.3422
MEM 72.269531 1749533675.4428
MEM 72.269531 1749533675.5434
MEM 72.269531 1749533675.6444
